refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"20250101","2025","1","202501","268","GEO","Georg"Import","842","USA","USA","0","W00","World","H5","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","309","false","5","u","309","false","785.65","false","0","false","74105.95",,"74105.95","0","false","true",
"20250101","2025","1","202501","276","DEU","Germa"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","142336.313","true","0","false","57313724.731",,"57313724.731","4","false","true",
"20250101","2025","1","202501","300","GRC","Gree"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","921","false","921","false","0","false","791798.182",,"791798.182","0","false","true",
"20250101","2025","1","202501","308","GRD","Grena"Import","842","USA","USA","0","W00","World","H4","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","21165.09","false","21165.09","false","0","false","363406.581",,"363406.581","0","false","true",
"20250101","2025","1","202501","320","GTM","Guatema"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","17134","false","17134","false","0","false","2579128",,"2579128","0","true","false",
"20250101","2025","1","202501","328","GUY","Guya"Import","842","USA","USA","0","W00","World","H5","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4506","false","5","u","4506","false","6065.12","false","6283.64","false","334498.379",,"334498.379","0","false","true",
"20250101","2025","1","202501","344","HKG","China, Hong Kong S Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","72135","false","5","u","72135","false","228823.057","true","0","false","85595861.893",,"85595861.893","4","true","false",
"20250101","2025","1","202501","348","HUN","Hunga"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","21935","false","21935.4","true","0","false","26142369.73",,"26142369.73","4","false","true",
"20250101","2025","1","202501","352","ISL","Icela"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","511","false","511","false","0","false","418988.787","411555.108","418988.787","0","true","false",
"20250101","2025","1","202501","372","IRL","Irela"Import","842","USA","USA","0","W00","World","H6","HS","true","851762","Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","24647","false","24647","false","0","false","9203840.186",,"9203840.186","0","true","false",
